Cluster_number,MA_IDs_included,TF_names_included,Representative_MA_ID,n_members
1,MA0880.2;MA0881.2;MA0882.2;MA1481.2;MA1495.2;MA0612.3;MA0886.2;MA0027.3;MA0900.3;MA0887.2;MA0888.2;MA0890.2;MA0892.2;MA0894.2;MA0902.3;MA0903.2;MA0904.3;MA1505.2;MA0654.2;MA0704.2;MA0705.2;MA0707.3;MA0675.2;MA0132.3;MA0716.2;MA0718.2;MA0717.2;MA0630.2;MA0720.2;MA0723.3,Dlx3;Dlx4;DLX6;DRGX;HOXA1;EMX1;EMX2;EN1;HOXA2;EVX1;EVX2;GBX2;GSX1;HESX1;HOXB2;HOXB3;HOXB5;HOXC8;ISX;Lhx4;Lhx8;MNX1;NKX6-2;PDX1;PRRX1;RAX;RAX2;SHOX;Shox2;VAX2,MA0716.2,30
2,MA0009.1;MA0103.1;MA0688.1;MA0689.1;MA0690.1;MA0800.1;MA0801.1;MA0802.1;MA0803.1;MA0805.1;MA0806.1;MA0807.1;MA1565.1;MA1566.1;MA1567.1;MA0690.2;MA1566.2;MA1567.2;MA0690.3;MA0800.2;MA1566.3;MA0802.2;MA1565.2;MA0688.2;MA1567.3;MA2492.1;MA2629.1,Tbxt;ZEB1;TBX2;TBX20;TBX21;EOMES;MGA;TBR1;TBX15;TBX1;TBX4;TBX5;TBX18;TBX3;TBX6;TBX21;TBX3;Tbx6;TBX21;EOMES;TBX3;TBR1;TBX18;TBX2;Tbx6;ZNF18;GSC::TBX21,MA0689.1,27
3,MA0467.1;MA0648.1;MA0682.1;MA0711.1;MA0712.1;MA0714.1;MA0883.1;MA0891.1;MA1480.1;MA1547.1;MA0682.2;MA0712.2;MA0467.2;MA1547.2;MA0467.3;MA0883.2;MA1480.2;MA0682.3;MA0648.2;MA0891.2;MA0711.2;MA0712.3;MA0714.2;MA0719.2;MA2597.1;MA2600.1,Crx;GSC;Pitx1;OTX1;OTX2;PITX3;Dmbx1;GSC2;DPRX;PITX2;PITX1;OTX2;Crx;PITX2;Crx;Dmbx1;DPRX;PITX1;GSC;GSC2;OTX1;OTX2;PITX3;RHOXF1;LEUTX;TPRX1,MA0883.1,26
4,MA0029.1;MA0140.1;MA0035.2;MA0482.1;MA0035.3;MA0036.2;MA0037.2;MA0140.2;MA0766.1;MA0036.3;MA1104.1;MA0037.3;MA0766.2;MA0035.4;MA0482.2;MA1104.2;MA1970.1;MA0037.4;MA0140.3;MA0036.4;MA0037.5;MA0482.3;MA0766.3;MA1104.3;MA0029.2;MA1970.2,Mecom;Gata1::Tal1;Gata1;Gata4;Gata1;GATA2;GATA3;GATA1::TAL1;GATA5;GATA2;GATA6;GATA3;GATA5;GATA1;GATA4;GATA6;TRPS1;Gata3;GATA1::TAL1;GATA2;Gata3;GATA4;GATA5;GATA6;Mecom;TRPS1,MA0029.1,26
5,MA0031.1;MA0157.1;MA0042.2;MA0157.2;MA0847.1;MA0848.1;MA0849.1;MA0850.1;MA0481.2;MA1489.1;MA2117.1;MA2118.1;MA0480.2;MA0480.3;MA0047.4;MA1683.2;MA0031.2;MA1606.2;MA0030.2;MA0852.3;MA1103.3;MA0157.4;MA0481.4;MA2469.1,FOXD1;FOXO3;FOXI1;FOXO3;FOXD2;FOXO4;FOXO6;FOXP3;FOXP1;FOXN3;FOXP4;FOXS1;Foxo1;Foxo1;FOXA2;FOXA3;FOXD1;Foxf1;FOXF2;FOXK1;FOXK2;Foxo3;FOXP1;FOXM1,MA0157.1,24
6,MA1935.1;MA1936.1;MA1942.1;MA1946.1;MA1947.1;MA1950.1;MA1952.1;MA1953.1;MA1954.1;MA1955.1;MA1956.1;MA1935.2;MA1936.2;MA1942.2;MA1946.2;MA1947.2;MA1950.2;MA1952.2;MA1953.2;MA1954.2;MA1955.2;MA1956.2;MA2548.1,ERF::FOXI1;ERF::FOXO1;ETV2::FOXI1;ETV5::FOXI1;ETV5::FOXO1;FLI1::FOXI1;FOXJ2::ELF1;FOXO1::ELF1;FOXO1::ELK1;FOXO1::ELK3;FOXO1::FLI1;ERF::FOXI1;ERF::FOXO1;ETV2::FOXI1;ETV5::FOXI1;ETV5::FOXO1;FLI1::FOXI1;FOXJ2::ELF1;FOXO1::ELF1;FOXO1::ELK1;FOXO1::ELK3;FOXO1::FLI1;ZNF226,MA2548.1,23
7,MA0103.2;MA0745.1;MA0522.2;MA0830.1;MA0103.3;MA1558.1;MA1559.1;MA1631.1;MA1648.1;MA0522.3;MA0830.2;MA1631.2;MA0820.2;MA0522.4;MA1620.2;MA1558.2;MA1559.2;MA1648.2;MA0830.3;MA0103.4;MA2536.1;MA2547.1;MA2686.1,ZEB1;SNAI2;TCF3;TCF4;ZEB1;SNAI1;SNAI3;ASCL1;TCF12;TCF3;TCF4;ASCL1;FIGLA;TCF3;Ptf1A;SNAI1;SNAI3;TCF12;TCF4;ZEB1;PRDM13;ZNF215;ZEB2,MA0830.2,23
8,MA0003.1;MA0524.1;MA0003.2;MA0810.1;MA0003.3;MA0811.1;MA0812.1;MA0813.1;MA0524.2;MA0814.1;MA0815.1;MA0872.1;MA1569.1;MA0003.4;MA0814.2;MA0810.2;MA0003.5;MA0811.2;MA0812.2;MA0524.3;MA0814.3;MA1569.2;MA2002.2,TFAP2A;TFAP2C;TFAP2A;TFAP2A;TFAP2A;TFAP2B;TFAP2B;TFAP2B;TFAP2C;TFAP2C;TFAP2C;TFAP2A;TFAP2E;TFAP2A;TFAP2C;TFAP2A;TFAP2A;TFAP2B;TFAP2B;TFAP2C;TFAP2C;TFAP2E;Zfp335,MA0003.4,23
9,MA0035.1;MA0091.1;MA0095.1;MA0461.1;MA1109.1;MA1123.1;MA1618.1;MA1638.1;MA1642.1;MA1123.2;MA0668.2;MA1467.2;MA1467.3;MA1638.2;MA1524.3;MA1109.2;MA0668.3;MA1642.2;MA0091.2;MA1123.3;MA1977.2;MA1618.2,Gata1;TAL1::TCF3;YY1;Atoh1;NEUROD1;TWIST1;Ptf1a;HAND2;NEUROG2;TWIST1;Neurod2;Atoh1;Atoh1;HAND2;Msgn1;NEUROD1;Neurod2;NEUROG2;TAL1::TCF3;TWIST1;ZNF324;Ptf1A,MA1642.2,22
10,MA0651.1;MA0873.1;MA0905.1;MA0906.1;MA0908.1;MA0911.1;MA1503.1;MA1506.1;MA0594.2;MA0485.2;MA0651.2;MA0911.2;MA0594.3;MA1503.2;MA0905.2;MA0651.3;MA0906.2;MA0907.2;MA0485.3;MA1506.2;MA0908.2;MA0873.2,HOXC11;HOXD12;HOXC10;HOXC12;HOXD11;Hoxa11;HOXB9;HOXD10;HOXA9;HOXC9;HOXC11;Hoxa11;HOXA9;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC9;HOXD10;HOXD11;HOXD12,MA0485.3,22
11,MA0674.1;MA0706.1;MA0132.2;MA0723.1;MA0885.1;MA1481.1;MA1497.1;MA1500.1;MA1501.1;MA1519.1;MA0893.2;MA2093.1;MA2119.1;MA0893.3;MA1497.2;MA1500.2;MA1501.2;MA1502.2;MA1519.2;MA0706.2;MA2558.1;MA2677.1,NKX6-1;MEOX2;PDX1;VAX2;Dlx2;DRGX;HOXA6;HOXB6;HOXB7;LHX5;GSX2;HOXB1;HOXA3;GSX2;HOXA6;HOXB6;HOXB7;HOXB8;LHX5;MEOX2;MSANTD4;HOXD1,MA0674.1,22
12,MA0834.1;MA1126.1;MA1127.1;MA1129.1;MA1131.1;MA1133.1;MA1136.1;MA1139.1;MA1143.1;MA1145.1;MA1470.1;MA1140.2;MA1951.1;MA0834.2;MA1470.2;MA1951.2;MA1126.2;MA1140.3;MA1131.2;MA1139.2;MA1145.2;MA1133.2,ATF7;FOS::JUN;FOSB::JUN;FOSL1::JUN;FOSL2::JUN;JUN::JUNB;FOSB::JUNB;FOSL2::JUNB;FOSL1::JUND;FOSL2::JUND;BACH2;JUNB;FOS;ATF7;BACH2;FOS;FOS::JUN;JUNB;FOSL2::JUN;FOSL2::JUNB;FOSL2::JUND;JUN::JUNB,MA1145.2,22
13,MA0135.1;MA0628.1;MA0630.1;MA0680.1;MA0702.1;MA0703.1;MA0704.1;MA0718.1;MA0721.1;MA0780.1;MA0853.1;MA0854.1;MA0874.1;MA0702.2;MA0723.2;MA0854.2;MA0853.2;MA0874.2;MA0135.2;MA0703.3;MA0680.3,Lhx3;POU6F1;SHOX;PAX7;LMX1A;LMX1B;Lhx4;RAX;UNCX;PAX3;Alx4;Alx1;Arx;LMX1A;VAX2;Alx1;Alx4;Arx;Lhx3;LMX1B;Pax7,MA0680.3,21
14,MA0618.1;MA0621.1;MA0654.1;MA0661.1;MA0675.1;MA0075.2;MA0700.1;MA0701.1;MA0716.1;MA0717.1;MA0720.1;MA0881.1;MA0882.1;MA0892.1;MA1463.1;MA1577.1;MA0701.2;MA0075.3;MA0644.2;MA1518.2;MA1463.2,LBX1;mix-a;ISX;MEOX1;NKX6-2;Prrx2;LHX2;LHX9;PRRX1;RAX2;Shox2;Dlx4;DLX6;GSX1;ARGFX;TLX2;LHX9;PRRX2;ESX1;Lhx1;ARGFX,MA0717.1,21
15,MA0050.1;MA0051.1;MA0137.1;MA0517.1;MA0652.1;MA0653.1;MA0772.1;MA1418.1;MA1419.1;MA1420.1;MA1509.1;MA1971.1;MA0050.3;MA0050.4;MA0051.2;MA1418.2;MA1419.2;MA0772.2;MA0652.2;MA0517.2;MA1971.2,IRF1;IRF2;STAT1;STAT1::STAT2;IRF8;IRF9;IRF7;IRF3;IRF4;IRF5;IRF6;ZBED2;Irf1;Irf1;IRF2;IRF3;IRF4;IRF7;IRF8;STAT1::STAT2;ZBED2,MA0050.4,21
16,MA0142.1;MA0507.1;MA0627.1;MA0784.1;MA0785.1;MA0786.1;MA0787.1;MA0788.1;MA0789.1;MA0792.1;MA1115.1;MA0627.2;MA1962.1;MA0507.2;MA0784.2;MA0784.3;MA0785.2;MA0507.3;MA0627.3;MA0786.2;MA1115.2,Pou5f1::Sox2;POU2F2;Pou2f3;POU1F1;POU2F1;POU3F1;POU3F2;POU3F3;POU3F4;POU5F1B;POU5F1;POU2F3;POU2F1::SOX2;POU2F2;POU1F1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU5F1,MA0792.1,21
17,MA0607.1;MA0623.1;MA0633.1;MA0668.1;MA0669.1;MA0678.1;MA0461.2;MA0817.1;MA0818.1;MA0826.1;MA0827.1;MA1468.1;MA1524.1;MA1568.1;MA1570.1;MA0623.2;MA0607.2;MA0818.2;MA0461.3;MA0817.2;MA1568.2,Bhlha15;Neurog1;Twist2;NEUROD2;NEUROG2;OLIG2;Atoh1;BHLHE23;BHLHE22;OLIG1;OLIG3;ATOH7;MSGN1;TCF21;TFAP4;NEUROG1;BHLHA15;BHLHE22;Atoh1;BHLHE23;TCF21,MA0461.2,21
18,MA0077.1;MA0087.1;MA1152.1;MA1561.1;MA1562.1;MA1563.1;MA0868.2;MA2095.1;MA0078.2;MA0087.2;MA1561.2;MA1562.2;MA1152.2;MA0078.3;MA0087.3;MA0868.3;MA0077.2;MA0084.2;MA2567.1;MA2684.1,SOX9;Sox5;SOX15;SOX12;SOX14;SOX18;SOX8;Sox7;Sox17;Sox5;SOX12;SOX14;SOX15;Sox17;Sox5;SOX8;SOX9;SRY;ZNF497;SOX30,MA0078.2,20
19,MA1099.1;MA0616.1;MA0622.1;MA0626.1;MA0649.1;MA0819.1;MA0821.1;MA0822.1;MA0823.1;MA0825.1;MA1493.1;MA1099.2;MA0616.2;MA0819.2;MA0821.2;MA0819.3;MA1099.3;MA0616.3;MA0649.2;MA0626.2,Hes1;Hes2;Mlxip;Npas2;HEY2;CLOCK;HES5;HES7;HEY1;MNT;HES6;HES1;HES2;CLOCK;HES5;CLOCK;HES1;HES2;HEY2;Npas2,MA0821.2,20
20,MA0028.1;MA0076.1;MA0131.1;MA0686.1;MA0759.1;MA0761.1;MA0764.1;MA0765.1;MA0028.2;MA0156.3;MA0759.2;MA0764.3;MA0765.3;MA0028.3;MA0686.2;MA0759.3;MA0763.2;MA0764.4;MA0765.4;MA0156.4,ELK1;ELK4;HINFP;SPDEF;ELK3;ETV1;ETV4;ETV5;ELK1;FEV;ELK3;ETV4;ETV5;ELK1;SPDEF;ELK3;ETV3;ETV4;ETV5;FEV,MA0759.1,20
21,MA0004.1;MA0058.1;MA0093.1;MA0104.1;MA0147.1;MA0104.2;MA0104.3;MA0608.1;MA0058.3;MA1108.1;MA0147.3;MA0104.4;MA0058.4;MA0147.4;MA0622.2;MA0825.2;MA0104.5;MA2541.1;MA2601.1,Arnt;MAX;USF1;Mycn;Myc;Mycn;Mycn;Creb3l2;MAX;MXI1;MYC;MYCN;MAX;MYC;Mlxip;MNT;MYCN;CREB3L3;USF3,MA0058.3,19
22,MA0065.1;MA0115.1;MA0065.2;MA0504.1;MA0677.1;MA0512.2;MA0855.1;MA0856.1;MA1148.1;MA1537.1;MA1550.1;MA1574.1;MA0504.2;MA1537.2;MA0677.2;MA1148.2;MA1550.2;MA0065.3;MA1574.2,PPARG::RXRA;NR1H2::RXRA;Pparg::Rxra;NR2C2;Nr2f6;Rxra;RXRB;RXRG;PPARA::RXRA;NR2F1;PPARD;THRB;NR2C2;NR2F1;Nr2f6;PPARA::RXRA;PPARD;Pparg::Rxra;THRB,MA1537.2,19
23,MA0144.1;MA0137.2;MA0463.1;MA0518.1;MA0519.1;MA0137.3;MA0144.2;MA0731.1;MA1624.1;MA1625.1;MA0463.2;MA0463.3;MA0137.4;MA0144.3;MA0518.2;MA1624.2;MA0519.2;MA1625.2;MA2555.1,Stat3;STAT1;Bcl6;Stat4;Stat5a::Stat5b;STAT1;STAT3;BCL6B;Stat5a;Stat5b;BCL6;BCL6;STAT1;STAT3;Stat4;Stat5a;Stat5a::Stat5b;Stat5b;ZNF493,MA0519.1,19
24,MA0041.1;MA0042.1;MA0047.1;MA0845.1;MA0032.2;MA0846.1;MA0851.1;MA0852.1;MA1487.1;MA0847.2;MA0041.2;MA0847.3;MA1487.2;MA0846.2;MA0847.4;MA0041.3;MA1487.3;MA0851.2,Foxd3;FOXI1;Foxa2;FOXB1;FOXC1;FOXC2;Foxj3;Foxk1;FOXE1;FOXD2;FOXD3;FOXD2;FOXE1;FOXC2;FOXD2;FOXD3;FOXE1;Foxj3,MA0032.2,18
25,MA0062.1;MA0156.1;MA0473.1;MA0474.1;MA0475.1;MA0098.2;MA0473.3;MA0761.2;MA0764.2;MA0062.3;MA1992.1;MA0474.3;MA2332.1;MA0473.4;MA0474.4;MA0761.3;MA0062.4;MA1992.2,GABPA;FEV;ELF1;Erg;FLI1;Ets1;ELF1;ETV1;ETV4;GABPA;Ikzf3;Erg;ZNF175;ELF1;Erg;ETV1;GABPA;Ikzf3,MA0156.1,18
26,MA0079.2;MA0516.1;MA0079.3;MA1653.1;MA0528.2;MA1961.1;MA1965.1;MA0079.5;MA0516.3;MA1522.2;MA1961.2;MA1965.2;MA1653.2;MA0528.3;MA2533.1;MA2565.1;MA2570.1;MA2578.1,SP1;SP2;SP1;ZNF148;ZNF263;PATZ1;SP5;SP1;SP2;MAZ;PATZ1;SP5;ZNF148;ZNF263;ZNF814;ZNF70;ZNF746;ZBTB8A,MA1522.2,18
27,MA0526.1;MA0093.2;MA0620.1;MA0692.1;MA0831.1;MA0871.1;MA0620.2;MA0526.2;MA0831.2;MA0620.3;MA0093.3;MA0526.3;MA0831.3;MA0620.4;MA0692.2;MA0871.3;MA0093.4;MA0526.5,USF2;USF1;Mitf;TFEB;TFE3;TFEC;MITF;USF2;TFE3;MITF;USF1;USF2;TFE3;MITF;TFEB;TFEC;USF1;USF2,MA0526.3,18
28,MA0141.1;MA0141.2;MA0505.1;MA0592.1;MA0643.1;MA0141.3;MA0592.2;MA1540.1;MA1541.1;MA0592.3;MA0505.2;MA1540.2;MA0592.4;MA0141.4;MA0643.2;MA1541.2;MA1540.3;MA0505.3,Esrrb;Esrrb;Nr5a2;ESRRA;Esrrg;ESRRB;Esrra;NR5A1;NR6A1;ESRRA;Nr5A2;NR5A1;ESRRA;ESRRB;Esrrg;NR6A1;Nr5a1;Nr5a2,MA0643.2,18
29,MA0152.1;MA0606.1;MA0624.1;MA0625.1;MA1525.1;MA1608.1;MA0095.3;MA0152.2;MA0606.2;MA0624.2;MA0625.2;MA1525.2;MA0606.3;MA0624.3;MA0152.3;MA0625.3;MA1525.3,NFATC2;NFAT5;NFATC1;NFATC3;NFATC4;Isl1;Yy1;Nfatc2;Nfat5;Nfatc1;NFATC3;NFATC4;Nfat5;Nfatc1;Nfatc2;NFATC3;NFATC4,MA0152.1,17
30,MA1931.1;MA1932.1;MA1937.1;MA1940.1;MA1944.1;MA1948.1;MA1949.1;MA1957.1;MA1958.1;MA1932.2;MA1937.2;MA1940.2;MA1944.2;MA1948.2;MA1949.2;MA1958.2;MA2540.1,ELK1::HOXA1;ELK1::HOXB13;ERF::HOXB13;ETV2::DRGX;ETV5::DRGX;ETV5::HOXA2;FLI1::DRGX;HOXB2::ELK1;HOXD12::ELK1;ELK1::HOXB13;ERF::HOXB13;ETV2::DRGX;ETV5::DRGX;ETV5::HOXA2;FLI1::DRGX;HOXD12::ELK1;SP140L,MA1937.1,17
31,MA0150.1;MA0501.1;MA0150.2;MA0591.1;MA1101.1;MA1633.1;MA1726.1;MA0496.3;MA0659.3;MA0591.2;MA0496.4;MA0501.2;MA0659.4;MA0150.3;MA1726.2;MA0089.2;MA0089.3,NFE2L2;MAF::NFE2;Nfe2l2;Bach1::Mafk;BACH2;BACH1;ZNF331;MAFK;Mafg;Bach1::Mafk;MAFK;MAF::NFE2;Mafg;Nfe2l2;ZNF331;MAFG::NRF1;MAFG::NRF1,MA1633.1,17
32,MA0106.1;MA0464.1;MA0525.1;MA0106.2;MA0525.2;MA0106.3;MA0861.1;MA1108.2;MA1108.3;MA0861.2;MA2559.1;MA2584.1;MA2592.1;MA2678.1;MA2679.1;MA2680.1,TP53;Bhlhe40;TP63;TP53;TP63;TP53;TP73;MXI1;MXI1;TP73;NACC2;DNTTIP1;MKX;IRX1;IRX2;IRX5,MA0861.2,16
33,MA0665.1;MA0832.1;MA1467.1;MA1472.1;MA1485.1;MA1619.1;MA1641.1;MA1993.1;MA1997.1;MA0521.2;MA0633.2;MA1472.2;MA1472.3;MA1641.2;MA1619.2;MA0832.2,MSC;Tcf21;ATOH1;BHLHA15;FERD3L;Ptf1A;MYF5;Neurod2;Olig2;Tcf12;Twist2;Bhlha15;Bhlha15;MYF5;Ptf1A;Tcf21,MA0521.2,16
34,MA0046.1;MA0153.1;MA0046.2;MA0153.2;MA0683.1;MA0722.1;MA0790.1;MA0791.1;MA0880.1;MA0902.1;MA0910.1;MA1507.1;MA0046.3;MA0790.2;MA0683.2;MA0791.2,HNF1A;HNF1B;HNF1A;HNF1B;POU4F2;VAX1;POU4F1;POU4F3;Dlx3;HOXB2;Hoxd8;HOXD4;HNF1A;POU4F1;POU4F2;POU4F3,MA0722.1,16
35,MA0694.1;MA0695.1;MA0734.1;MA0737.1;MA0750.1;MA1491.1;MA0734.2;MA1990.1;MA0734.3;MA1491.2;MA1990.2;MA0734.4;MA1491.3;MA0694.2;MA0695.2;MA0695.3,ZBTB7B;ZBTB7C;GLI2;GLIS3;ZBTB7A;GLI3;GLI2;Gli1;Gli2;GLI3;Gli1;Gli2;GLI3;ZBTB7B;ZBTB7C;ZBTB7C,MA0695.2,16
