Cluster_number,MA_IDs_included,TF_names_included,Representative_MA_ID,n_members
91,MA0498.1;MA0498.2;MA0774.1;MA0775.1;MA1113.1;MA1114.1;MA0782.2;MA0498.3;MA0775.2;MA1114.2;MA0782.3,Meis1;MEIS1;MEIS2;MEIS3;PBX2;PBX3;PKNOX1;MEIS1;MEIS3;PBX3;PKNOX1,MA1114.1,11
92,MA0595.1;MA0664.1;MA0828.1;MA0829.1;MA0829.2;MA1939.1;MA0526.4;MA0828.2;MA0828.3;MA1939.2;MA0829.3,SREBF1;MLXIPL;SREBF2;Srebf1;SREBF1;ERF::SREBF2;USF2;SREBF2;SREBF2;ERF::SREBF2;SREBF1,MA0664.1,11
93,MA0048.1;MA0522.1;MA0691.1;MA1635.2;MA1993.2;MA1997.2;MA0521.3;MA0633.3;MA2532.1;MA2589.1,NHLH1;Tcf3;TFAP4;BHLHE22;Neurod2;Olig2;Tcf12;Twist2;ZNF780B;ZNF728,MA2589.1,10
94,MA0092.1;MA0486.1;MA0486.2;MA0770.1;MA0771.1;MA1579.1;MA1649.1;MA1649.2;MA1579.2;MA2676.1,Hand1::Tcf3;HSF1;HSF1;HSF2;HSF4;ZBTB26;ZBTB12;ZBTB12;ZBTB26;HSF5,MA2676.1,10
95,MA0136.1;MA0080.2;MA0136.2;MA1708.1;MA0598.3;MA0640.2;MA0136.3;MA0598.4;MA0640.3;MA0136.4,ELF5;SPI1;ELF5;ETV7;EHF;ELF3;Elf5;EHF;ELF3;Elf5,MA0136.3,10
96,MA1513.1;MA1713.1;MA2328.1;MA1513.2;MA1713.2;MA2538.1;MA2539.1;MA2546.1;MA2566.1;MA2583.1,KLF15;ZNF610;ZBED4;KLF15;ZNF610;CGGBP1;SLC2A4RG;ZNF131;ZNF395;ZNF142,MA2328.1,10
97,MA0793.1;MA1530.1;MA1549.1;MA1499.2;MA1504.2;MA1530.2;MA1549.2;MA0793.2;MA2551.1;MA2561.1,POU6F2;NKX6-3;POU6F1;HOXB4;HOXC4;NKX6-3;POU6F1;POU6F2;ZNF286B;TIGD4,MA1530.1,10
98,MA0259.1;MA1106.1;MA1560.1;MA0632.2;MA2325.1;MA1106.2;MA1560.2;MA0632.3;MA2674.1;MA2683.1,ARNT::HIF1A;HIF1A;SOHLH2;TCFL5;EPAS1;HIF1A;SOHLH2;TCFL5;HIF3A;NPAS3,MA2683.1,10
99,MA0151.1;MA1499.1;MA1504.1;MA0634.2;MA0601.2;MA0702.3;MA0621.2;MA0674.2;MA0722.2;MA1975.2,Arid3a;HOXB4;HOXC4;ALX3;Arid3b;LMX1A;mix-a;NKX6-1;VAX1;ZNF214,MA0151.1,10
100,MA0073.1;MA0472.1;MA1107.1;MA1155.1;MA0162.4;MA1107.2;MA1107.3;MA0073.2;MA2507.1;MA2515.1,RREB1;Egr2;KLF9;ZSCAN4;EGR1;KLF9;KLF9;RREB1;NACC2;ZNF865,MA2515.1,10
101,MA0149.1;MA0528.1;MA1714.1;MA1723.1;MA1987.1;MA1723.2;MA1714.2;MA1987.2;MA2531.1,EWSR1-FLI1;ZNF263;ZNF675;PRDM9;ZNF701;PRDM9;ZNF675;ZNF701;ZNF775,MA1987.2,9
102,MA0462.1;MA0462.2;MA1634.1;MA0835.2;MA0477.2;MA0490.2;MA0491.2;MA1633.2;MA0476.2,BATF::JUN;BATF::JUN;BATF;BATF3;FOSL1;JUNB;JUND;BACH1;FOS,MA0477.2,9
103,MA0155.1;MA1548.1;MA1615.1;MA1615.2;MA1548.2;MA2576.1;MA2577.1;MA2596.1;MA1976.3,INSM1;PLAGL2;Plagl1;Plagl1;PLAGL2;ZXDB;ZXDC;ZXDA;ZNF320,MA2577.1,9
104,MA0019.1;MA0833.1;MA1720.1;MA1636.1;MA0833.2;MA0833.3;MA1636.2;MA0019.2;MA1720.2,Ddit3::Cebpa;ATF4;ZNF85;CEBPG;ATF4;ATF4;CEBPG;Ddit3::Cebpa;ZNF85,MA0019.2,9
105,MA1552.1;MA1553.1;MA1555.1;MA1556.1;MA1985.1;MA1995.1;MA1995.2;MA1552.2;MA1553.2,RARB;RARG;RXRB;RXRG;ZNF669;Npas4;Npas4;RARB;RARG,MA1985.1,9
106,MA1120.1;MA0143.4;MA0514.2;MA0143.5;MA1120.2;MA0514.3;MA2457.1;MA2458.1;MA2586.1,SOX13;SOX2;Sox3;SOX2;SOX13;Sox3;ZNF260;ZNF146;ZNF518B,MA0514.3,9
107,MA0508.1;MA0508.2;MA1731.1;MA0508.3;MA0508.4;MA1731.2;MA2496.1;MA2522.1,PRDM1;PRDM1;ZNF768;PRDM1;PRDM1;ZNF768;ZNF596;ZNF683,MA2522.1,8
108,MA0100.1;MA0100.2;MA0782.1;MA0783.1;MA0796.1;MA0797.1;MA1571.1;MA1572.1,Myb;Myb;PKNOX1;PKNOX2;TGIF1;TGIF2;TGIF2LX;TGIF2LY,MA0100.1,8
109,MA0071.1;MA0072.1;MA1150.1;MA1151.1;MA0072.2;MA1150.2;MA1151.2;MA2560.1,RORA;RORA;RORB;RORC;RORA;RORB;RORC;POGK,MA1150.1,8
110,MA0088.1;MA0088.2;MA1116.1;MA1716.1;MA2125.1;MA1116.2;MA1716.2;MA0088.3,znf143;ZNF143;RBPJ;ZNF76;Zfp809;RBPJ;ZNF76;ZNF143,MA0088.2,8
111,MA1495.1;MA1498.1;MA1502.1;MA1505.1;MA1518.1;MA0158.2;MA0904.2;MA0910.2,HOXA1;HOXA7;HOXB8;HOXC8;LHX1;HOXA5;HOXB5;HOXD8,MA1502.1,8
112,MA1979.1;MA1986.1;MA2121.1;MA1979.2;MA1986.2;MA2582.1;MA2603.1,ZNF416;ZNF692;ZNF213;ZNF416;ZNF692;ZNF121;ZFTA,MA2121.1,7
113,MA1520.1;MA1521.1;MA2100.1;MA2334.1;MA1520.2;MA1521.2;MA2599.1,MAF;MAFA;ZSCAN16;ZNF547;MAF;MAFA;TIGD3,MA1520.1,7
114,MA0598.2;MA0640.1;MA0473.2;MA1483.1;MA1483.2;MA1483.3;MA2594.1,EHF;ELF3;ELF1;ELF2;ELF2;ELF2;DMTF1,MA1483.2,7
115,MA0494.1;MA0860.1;MA1576.1;MA1969.1;MA0494.2;MA1969.2;MA1576.2,Nr1h3::Rxra;Rarg;THRB;THRA;Nr1h3::Rxra;THRA;THRB,MA1969.2,7
116,MA1118.1;MA1119.1;MA2098.1;MA2001.1;MA1118.2;MA1119.2;MA2001.2,SIX1;SIX2;ZNF766;Six4;SIX1;SIX2;Six4,MA1119.2,7
117,MA0647.1;MA1105.1;MA1105.2;MA1968.1;MA0647.2;MA1105.3;MA1968.2,GRHL1;GRHL2;GRHL2;TFCP2;GRHL1;GRHL2;TFCP2,MA1105.3,7
118,MA0164.1;MA1711.1;MA1646.1;MA0164.2;MA1646.2;MA1711.2,Nr2e3;ZNF343;OSR2;Nr2e3;OSR2;ZNF343,MA0164.2,6
119,MA0138.1;MA0138.2;MA1728.1;MA0138.3;MA1655.2;MA1728.2,REST;REST;ZNF549;REST;ZNF341;ZNF549,MA0138.3,6
120,MA0139.1;MA1102.1;MA1715.1;MA1102.2;MA0139.2;MA1102.3,CTCF;CTCFL;ZNF707;CTCFL;CTCF;CTCFL,MA0139.1,6
121,MA0095.2;MA0748.1;MA1651.1;MA0748.2;MA0095.4;MA1651.2,YY1;YY2;ZFP42;YY2;Yy1;ZFP42,MA0095.4,6
122,MA0604.1;MA0609.1;MA0615.1;MA0862.1;MA1140.1;MA0615.2,Atf1;Crem;Gmeb1;GMEB2;JUNB;Gmeb1,MA1140.1,6
123,MA0635.1;MA0777.1;MA0877.2;MA0877.3;MA0877.4;MA0635.2,BARHL2;MYBL2;BARHL1;BARHL1;BARHL1;BARHL2,MA0635.2,6
124,MA0033.1;MA1718.1;MA1974.1;MA1974.2;MA2537.1;MA2544.1,FOXL1;ZNF8;ZNF211;ZNF211;SALL3;ZKSCAN4,MA0033.1,6
125,MA0776.1;MA0895.1;MA1657.1;MA0895.2;MA1657.2;MA2543.1,MYBL1;HMBOX1;ZNF652;HMBOX1;ZNF652;ZBTB47,MA1657.1,6
126,MA0642.1;MA0644.1;MA0894.1;MA0900.1;MA0904.1;MA2685.1,EN2;ESX1;HESX1;HOXA2;Hoxb5;TLX3,MA2685.1,6
127,MA0083.1;MA0083.2;MA0083.3;MA2562.1;MA2692.1,SRF;SRF;SRF;TIGD5;ZNF43,MA0083.3,5
128,MA0145.1;MA0145.2;MA2341.1;MA0092.2;MA1973.2,Tfcp2l1;Tfcp2l1;FEZF2;Hand1::Tcf3;ZKSCAN3,MA2341.1,5
129,MA0629.1;MA1593.1;MA0629.2;MA1593.2;MA2495.1,Rhox11;ZNF317;Rhox11;ZNF317;ZNF490,MA0629.2,5
130,MA0667.1;MA0698.1;MA0100.3;MA0100.4;MA0698.2,MYF6;ZBTB18;MYB;MYB;ZBTB18,MA0100.4,5
131,MA1523.1;MA1645.1;MA1523.2;MA1645.2;MA0063.3,MSANTD3;NKX2-2;MSANTD3;NKX2-2;NKX2-5,MA1523.1,5
132,MA0146.1;MA0146.2;MA2123.1;MA1724.2;MA0146.3,Zfx;Zfx;Hand1;Rfx6;Zfx,MA0146.1,5
133,MA0079.1;MA1599.1;MA1656.1;MA1656.2;MA1599.2,SP1;ZNF682;ZNF449;ZNF449;ZNF682,MA1656.2,5
134,MA0159.1;MA0730.1;MA0858.1;MA1149.1;MA1149.2,RARA::RXRA;RARA;Rarb;RARA::RXRG;RARA::RXRG,MA0730.1,5
135,MA0795.1;MA1153.1;MA1557.1;MA1153.2;MA2585.1,SMAD3;Smad4;SMAD5;Smad4;ZNF500,MA0795.1,5
136,MA1709.1;MA2101.1;MA0739.2;MA1709.2;MA2568.1,ZIM3;ZNF677;Hic1;ZIM3;ZNF568,MA2101.1,5
137,MA0646.1;MA0767.1;MA0646.2;MA0767.2;MA2579.1,GCM1;GCM2;GCM1;GCM2;ZBTB8B,MA0646.2,5
138,MA0527.1;MA0749.1;MA0749.2;MA0527.2;MA2503.1,ZBTB33;ZBED1;ZBED1;ZBTB33;Banp,MA0527.2,5
139,MA1475.1;MA0609.2;MA0018.5;MA0840.2;MA0609.3,CREB3L4;CREM;CREB1;Creb5;CREM,MA1475.1,5
140,MA1712.1;MA2330.1;MA1712.2;MA2550.1;MA2569.1,ZNF454;ZBTB24;ZNF454;ZNF275;ZNF676,MA1712.2,5
141,MA0794.1;MA1592.1;MA1592.2;MA2490.1,PROX1;ZNF274;ZNF274;ZFP3,MA0794.1,4
142,MA1710.1;MA1652.1;MA1710.2;MA2587.1,ZNF257;ZKSCAN5;ZNF257;ZNF672,MA2587.1,4
143,MA0735.1;MA0736.1;MA0735.2;MA0750.4,GLIS1;GLIS2;GLIS1;ZBTB7A,MA0735.2,4
144,MA1544.1;MA1545.1;MA1544.2;MA1545.2,OVOL1;OVOL2;OVOL1;OVOL2,MA1545.2,4
145,MA0866.1;MA0867.1;MA0869.1;MA0870.1,SOX21;SOX4;Sox11;Sox1,MA0867.1,4
146,MA0098.1;MA1508.2;MA2519.1;MA2556.1,ETS1;IKZF1;ZNF606;ZNF510,MA2556.1,4
147,MA0036.1;MA0037.1;MA2557.1;MA2575.1,GATA2;GATA3;ZGLP1;ZNF536,MA0036.1,4
148,MA1471.1;MA1496.1;MA1471.2;MA1496.2,BARX2;HOXA4;BARX2;HOXA4,MA1496.2,4
149,MA0059.1;MA0058.2;MA0147.2;MA0059.2,MAX::MYC;MAX;Myc;MAX::MYC,MA0147.2,4
150,MA0520.1;MA1964.1;MA1964.2;MA0520.2,Stat6;SMAD2;SMAD2;Stat6,MA0520.1,4
151,MA1654.1;MA1972.1;MA1977.1;MA1654.2,ZNF16;ZFP14;ZNF324;ZNF16,MA1654.2,4
152,MA0162.2;MA1627.1;MA1630.1;MA1627.2,EGR1;Wt1;Znf281;Wt1,MA1627.1,4
153,MA0863.1;MA1602.1;MA1602.2;MA2571.1,MTF1;ZSCAN29;ZSCAN29;ZNF800,MA0863.1,4
154,MA1581.1;MA1984.1;MA1581.2;MA1984.2,ZBTB6;ZNF667;ZBTB6;ZNF667,MA1984.1,4
155,MA1589.1;MA1563.2;MA1589.2;MA1589.3,ZNF140;SOX18;ZNF140;ZNF140,MA1563.2,4
156,MA1722.1;MA0597.2;MA0597.3;MA1722.2,ZSCAN31;THAP1;THAP1;ZSCAN31,MA0597.2,4
157,MA1981.1;MA1981.2;MA2512.1;MA2688.1,ZNF530;ZNF530;ZNF648;ZNF347,MA2512.1,4
158,MA0763.1;MA1933.1;MA2340.1;MA1933.2,ETV3;ELK1::SREBF2;Zbtb2;ELK1::SREBF2,MA0763.1,4
159,MA0130.1;MA0479.1;MA0719.1;MA0479.2,ZNF354C;FOXH1;RHOXF1;FOXH1,MA0479.1,4
160,MA2331.1;MA2339.1;MA2527.1;MA2564.1,ZNF157;Nanog;ZNF726;ZNF43,MA2527.1,4
161,MA1998.1;MA1999.1;MA1999.2,Prdm14;Prdm5;Prdm5,MA1999.2,3
162,MA0068.1;MA2462.1;MA2574.1,Pax4;ZNF250;ZNF878,MA2574.1,3
163,MA0080.1;MA1684.1;MA2553.1,SPI1;Foxn1;ZNF407,MA2553.1,3
164,MA0111.1;MA1647.1;MA1655.1,Spz1;PRDM4;ZNF341,MA1647.1,3
165,MA1154.1;MA1154.2;MA2528.1,ZNF282;ZNF282;ZNF732,MA2528.1,3
166,MA0738.1;MA0739.1;MA0738.2,HIC2;Hic1;HIC2,MA0738.1,3
167,MA0018.2;MA1143.2;MA0656.2,CREB1;FOSL1::JUND;JDP2,MA0656.2,3
168,MA0468.1;MA0035.5;MA2485.1,DUX4;GATA1;Duxbl1,MA0468.1,3
169,MA0506.1;MA0006.2;MA2514.1,NRF1;Ahr::Arnt;ZNF853,MA0006.2,3
170,MA1587.1;MA1596.1;MA2099.1,ZNF135;ZNF460;ZNF770,MA1596.1,3
171,MA0601.1;MA0602.1;MA0602.2,Arid3b;Arid5a;Arid5a,MA0602.1,3
172,MA0619.1;MA0619.2;MA2552.1,LIN54;LIN54;ZNF367,MA2552.1,3
173,MA0634.1;MA0662.1;MA2508.1,ALX3;MIXL1;CASZ1,MA0634.1,3
174,MA2488.1;MA2506.1;MA2682.1,ZBTB40;MYT1;MYT1L,MA2488.1,3
175,MA0752.1;MA0752.2;MA2509.1,ZNF410;ZNF410;ZBTB5,MA0752.1,3
176,MA1514.1;MA2096.1;MA1514.2,KLF17;ZNF524;KLF17,MA1514.2,3
177,MA1601.1;MA2097.1;MA1601.2,ZNF75D;ZNF75A;ZNF75D,MA1601.2,3
178,MA0596.1;MA2573.1;MA2590.1,SREBF2;ZNF836;ZNF841,MA0596.1,3
179,MA0900.2;MA0902.2;MA0912.2,HOXA2;HOXB2;HOXD3,MA0900.2,3
180,MA0841.1;MA0491.3;MA0841.2,NFE2;JUND;NFE2,MA0491.3,3
181,MA1132.1;MA1142.2;MA1132.2,JUN::JUNB;FOSL1::JUND;JUN::JUNB,MA1142.2,3
182,MA1575.1;MA1575.2;MA2487.1,THRB;THRB;ZBTB21,MA1575.2,3
183,MA1583.1;MA1583.2;MA2497.1,ZFP57;ZFP57;ZNF623,MA2497.1,3
184,MA0056.1;MA1719.1;MA1719.2,MZF1;ZNF816;ZNF816,MA1719.1,3
185,MA1730.1;MA1998.2;MA1730.2,ZNF708;Prdm14;ZNF708,MA1730.1,3
186,MA1982.1;MA1652.2;MA1982.2,ZNF574;ZKSCAN5;ZNF574,MA1982.2,3
187,MA1717.1;MA1717.2;MA2549.1,ZNF784;ZNF784;ZNF234,MA1717.1,3
188,MA1729.1;MA2326.1;MA1729.2,ZNF680;IKZF2;ZNF680,MA2326.1,3
189,MA1616.1;MA1616.2;MA2330.2,Prdm15;Prdm15;ZBTB24,MA1616.1,3
190,MA1542.1;MA1725.2;MA2691.1,OSR1;ZNF189;ZNF841,MA2691.1,3
191,MA2470.1;MA2530.1;MA2572.1,ZBTB48;ZNF773;ZNF827,MA2470.1,3
192,MA0009.2;MA0804.1;MA0804.2,TBXT;TBX19;TBX19,MA0009.2,3
193,MA1124.1;MA1975.1,ZNF24;ZNF214,MA1124.1,2
194,MA0032.1;MA0124.1,FOXC1;NKX3-1,MA0124.1,2
195,MA2494.1;MA2591.1,ZNF436;ZNF850,MA2494.1,2
196,MA0108.1;MA0108.2,TBP;TBP,MA0108.1,2
197,MA0158.1;MA2525.1,HOXA5;ZNF699,MA2525.1,2
198,MA1647.2;MA1647.3,Prdm4;Prdm4,MA1647.3,2
199,MA0078.1;MA1597.1,Sox17;ZNF528,MA0078.1,2
200,MA1725.1;MA2333.1,ZNF189;ZNF35,MA1725.1,2
201,MA1546.1;MA1546.2,PAX3;PAX3,MA1546.1,2
202,MA0597.1;MA1608.2,THAP1;Isl1,MA0597.1,2
203,MA0799.2;MA0799.3,RFX4;RFX4,MA0799.3,2
204,MA0612.1;MA0903.1,EMX1;HOXB3,MA0612.1,2
205,MA0131.2;MA2511.1,HINFP;ZNF335,MA0131.2,2
206,MA1994.2;MA0673.2,Nkx2-1;NKX2-8,MA0673.2,2
207,MA0676.1;MA2690.1,Nr2e1;ZNF724,MA2690.1,2
208,MA1960.1;MA1960.2,MGA::EVX1;MGA::EVX1,MA1960.2,2
209,MA2002.1;MA2602.1,Zfp335;ZBED5,MA2602.1,2
210,MA0724.1;MA2675.1,VENTX;HOMEZ,MA0724.1,2
211,MA1476.1;MA0707.2,DLX5;MNX1,MA0707.2,2
212,MA1101.2;MA1101.3,BACH2;BACH2,MA1101.2,2
213,MA1943.1;MA1943.2,ETV2::HOXB13;ETV2::HOXB13,MA1943.1,2
214,MA2491.1;MA2529.1,ZNF134;ZNF772,MA2529.1,2
215,MA1542.2;MA2493.1,OSR1;ZNF322,MA2493.1,2
216,MA0148.4;MA0148.5,FOXA1;FOXA1,MA0148.5,2
217,MA0868.1;MA1580.1,SOX8;ZBTB32,MA1580.1,2
218,MA0143.1;MA0143.2,Sox2;Sox2,MA0143.2,2
219,MA0027.1,En1,MA0027.1,1
220,MA2335.1,ZNF558,MA2335.1,1
221,MA0070.2,PBX1,MA0070.2,1
222,MA0693.1,Vdr,MA0693.1,1
223,MA2520.1,ZNF678,MA2520.1,1
224,MA0259.2,ARNT::HIF1A,MA0259.2,1
225,MA1973.1,ZKSCAN3,MA1973.1,1
226,MA0598.1,EHF,MA0598.1,1
227,MA2545.1,ZNF57,MA2545.1,1
228,MA0480.1,Foxo1,MA0480.1,1
229,MA2516.1,ZSCAN2,MA2516.1,1
230,MA1980.1,ZNF418,MA1980.1,1
231,MA0879.1,Dlx1,MA0879.1,1
232,MA1594.1,ZNF382,MA1594.1,1
233,MA2504.1,BCL11A,MA2504.1,1
234,MA0131.3,HINFP,MA0131.3,1
235,MA0907.1,HOXC13,MA0907.1,1
236,MA1603.2,Dmrt1,MA1603.2,1
237,MA2687.1,ZNF251,MA2687.1,1
238,MA1524.2,Msgn1,MA1524.2,1
239,MA2524.1,ZNF696,MA2524.1,1
240,MA2324.1,BCL11A,MA2324.1,1
241,MA1577.2,TLX2,MA1577.2,1
242,MA2526.1,ZNF721,MA2526.1,1
243,MA1507.2,HOXD4,MA1507.2,1
244,MA0699.2,LBX2,MA0699.2,1
245,MA0662.2,MIXL1,MA0662.2,1
246,MA0628.2,POU6F1,MA0628.2,1
247,MA0721.2,UNCX,MA0721.2,1
248,MA2588.1,FAM200B,MA2588.1,1